"id","MeetingName","MeetingDate","Audience","Staff","Notes","Createdby"
498,"Bacteria &Viruses",2/15/2007 0:00:00,15,"Kristian Whitfield"," I KRISTIAN WHITFIELD PRESENTEED A PRESENTATION ON BACTERIA AND VIRUSES TO MY FELLOW CLASSMATES AND SPECIAL TEARGET TEACHERS.  I USED A POWER POINT PRESENTATION AS WELL AS A RESOURCE BOARD TO GET THE INFORMATION ACROSS TO THE PUBLIC.  BACTERIA IS A BAD THING TO CATCH WITHIN THE SYSTEM BECAUSE IT CAN CAUSE A STAFF INFECTION AND ETC.  ON THE OTHER HAND VIRUSES CAN HELP THE BODY FIGHT OFF OTHER VIRUSES THAT MIGHT CAUSE BODILY HARM OF DEATH.",122
503,"Herman Park's Run To Run Japanese Center",2/10/2007 0:00:00,0,"","",99
505,"Parent Advisory Council Meeting",3/20/2007 0:00:00,12,"Trinette White","I attended The Parent Advisory Council ( PAC) Meeting at Hartsfield Elementary. I informed the parents about the Chip Perinatal and the women's health program.I also told them about the upcoming health fairs.",120
508,"Gulf Coast Services 5k walk and run",4/14/2007 0:00:00,100,"Trinette White & Rachel Castelloa","we help with directing the traffic (vehicels) , directing the runners in the right direction during the race, help serve food and drinks.",120
512,"hEALTHFAIR",4/21/2007 0:00:00,100,"Tracy Allen, Kristian Whitfield, Trinette White","We all volunteered at the health fair by Greater Hope Baptis Church. We gave infomation on CHIP, Housing, HCHD Discount Card, Diabetes, etc.",120
513,"Rita & Katrina Evacuee's Resource Fair",4/24/2007 0:00:00,300,"Margaret Gibson & Rene' Morse","On Tuesday we continued to help the clients with their HCHD Applications and Clinic placements. We also gavve them CHIP/Medicaid applications and explained the process. There were 30 clients serviced.",111
514,"CHIP Fiesta Sign -Up",4/28/2007 0:00:00,150,"Trinette White, and Delana Chacaree","We help clients fill out applications for chips.",120
515,"Cover the Uninsured",4/28/2007 0:00:00,40,"Tracy White & Rene' Morse","Tracy and I were at the Fiesta on Tidwell at Mesa.  We enrolled clients in CHIP and Discount Cards, from 10:00 am- 4:00 pm.  We arrived at 9:00 am.",111
516,"Mini Health Fair",4/27/2007 0:00:00,300,"Kristian Whitfield, Tracy Allen, Trinette White","We passed out information to the children for them to take honme to on CHIPS, immunization,HCHD Discount Card.",120
517,"Volunteer @ Ronald McDonald House",4/30/2007 0:00:00,15,"Gloria Sanchez","This meeting was about an orientation for the volunteers at the Ronald McDonald House with childrens in the ICU and Intensiive Care.",116
518,"Volunteer @ Ronald McDonald House",5/10/2007 0:00:00,20,"Gloria Sanchez","A Mothers Day Breakfast party for the childrens who are in Intensive Care.",116
519,"RMH Memorial Herman",5/15/2007 0:00:00,13,"Gloria Sanchez","I did an outreach at RMH Memorial Herman Hospital, I volunteered for the families to help them get health insurance coverage for Medicaid.",116
520,"Raul Martinez Health Fair",5/18/2007 0:00:00,500,"Angela Tellez & Trinette White","We attended a Health Fair at Raul Martinez Elementary. We gave information on Medicaid, CHIP, CHIP Perinatal, Harris County Social Services, and many more. It turned out very good.",120
521,"Motherland",5/19/2007 0:00:00,7,"2","The health fair had a wide attendance and several of the attendees needed discount applications some applications needed to be mailed. The children had either medicaid or private insurance. None of the persons needed LIS.  The programs were explained. 
Gloria Sanchez and Margaret Gibson were the navigators. ",103
523,"Lions Share Health Fair",5/12/2007 0:00:00,50,"Douglas Strong, and Dawson Nguyen","Dawson and I represented Dawson site. Since I did not have Gateway to Care banner.",117
530,"Community Health Fair",6/2/2007 0:00:00,400,"Patsy, Trinette, Tracy, Lisette","We gave out information on Medicare, CHIP, HCHD Discount Card, Ask Your Nurse, GED, HCHD Social Services, etc.. We also got information that would help some of our clients.",120
531,"Citizenship workshop training",6/9/2007 0:00:00,60,"8","We were instructed on how to fill out the citizenship forms.",80
532,"The Beacon Day Center",7/17/2007 0:00:00,250,"Gloria, Renee ,Trinette","We assist at the Beacon Day Center.We had to register the people in the sytem when they came in.We also told them about Americorp.",120
533,"Houston Sun Health Fair",6/16/2007 0:00:00,150,"5","Juneteenth Health Fair sponsored by the Houston Sun Newpaper.",80
534,"Planned Parent Hood  Free HIV Testing Day Event",6/27/2007 0:00:00,50,"Gloria Sanchez","I volunteered at Planned Parent Hood this event was a day for free HIV testing.",116
535,"Rides Transportation",7/9/2007 0:00:00,12,"Marget Gibson & Gloria sanchez","Helped people with Rides Transportation and Vochure Program.",116
544,"",,0,"","We attended a work-shop for the Citizenship Coalation at the Catholic Charites of Houston. We were in training to knoow how to help the immigrants get there citizenship.",116
554,"",,0,"","",116
563,"Legal information Seminar",7/19/2007 0:00:00,10,"M, Gibson; R. Morse; T. White","Legal information that can help senior with home repair and how to keep people from taking the home from them.",119
564,"",,0,"M, Gibson; R. Morse; T. White","",119
565,"Community Forum & Health Fair",7/7/2007 0:00:00,500,"Trinette, Rene, Patsy","We passed out information on Medicare Part A B D, we gave out information on CHIP, Foodstamp program, AmeriCorp Gateway to Care etc.",120
566,"Aldine Community Health Fair",7/21/2007 0:00:00,500,"Trinette,Patsy,Alana, Marget, Tracy,Rene, Rosemary","We passed on information about Diabetees, Medicare, Chip, HCHD Discount Card, Foodstamps etc. We recieved information for our clients on Lupas, Noahs Ark, Teen Sucide Hotline.",120
567,"Echos Health Fair",8/4/2007 0:00:00,500,"Patsy Taylor,  Julianna Langlois","Gave info on Medicare Part D Extra Help Program",80
568,"Aldine Health Clinic Fair",8/5/2007 0:00:00,400,"Patsy Taylor,  Julianna Langlois","Provided info on Medicare Part D Extra Help Program.",80
571,"Greeenspoint Mall",,0,"","",120
574,"Greenspoint Mall",7/28/2000 0:00:00,1000,"Me,Elizabeth,Kristian,Doug,Imelda,Alana,Rose,JL","Gave out information on Medicad, CHIP, HCHD Discount Card, Up coming Back to School events, Medicare Matters, Home Buyers Assistant Programs etc...",120
575,"",,0,"","Third Ward Community Adequate Health Clinic which was held outdoors and the contact person was Shedrick Kennedy. This health Fair was community based at 2606 Live Oak Houston, TX 77004. This day we did not have many volunteers and organizations but the Navigators were designated a table in which we would switch off in helping the Church organization heading the fair. ",96
576,"",,0,"","Navigators were making contacts passing out applications for CHIP, Medicaid, Harris County Hospital District Discount Card, and Food Stamp applications. Client would come by the table to get the information and any questions they had were asked.  When not at the table Navigators were asked to help with food distribution as well as setting up tables, decorating, and helping pass out popcorn and water bottles to keep all people hydrated.  This event did not have a great turn out because the weather was hot and humid because it seemed like it would rain later that day which it did. People mainly came for the food distribution at the end and the blood pressure check. 
 
 ",96
579,"Moody Park Back to School",8/3/2007 0:00:00,2000,"10","4 navigators served at the Gateway to Care table. The other navigators helped the Houston Food Bank give out food",80
580,"Spring Branch Community Health Center",8/11/2007 0:00:00,50,"Alana Bush, gloria sanchez","I attended the healthfair from 7:30 am to 12pm.",95
583,"Prince Complex Back to School Health Fair",8/11/2007 0:00:00,175,"Tinette,Kristian,Margaret,JL,Doug,Rene,Patsy","We assisted people with information on Medcaid, Medicare Part D, HCHD Discount Card, Food stamps, CHIP& CHIP Perinatal, Free GED,Helped give away school uniforms, etc....",120
584,"Harbach Ripley Health Fair",8/18/2007 0:00:00,300,"1","I did not see any other staff member there although I did arrive 30 minutes late, maybe some other staff member arrived earlier or later because I left at 1:00 pm. (I had a funeral to attend.)The turnout was excellent, I'd say over 500 poeple. There was hardly any parking when I arrived. The reserved a whole table for Gateway to Care and I was going to use it when I saw Ms. Esmeralda of Maximus and sat next to her and helped her with CHIP applications, she had ran out. I had about 40 HCHD discount services applications in all both english and spanish. When I left I only had a few spanish left and I gave out all of my English applications. I've created a cover sheet that includes the eligibility number on each application so that clients could call that number before just turning an applications in eligibilty offices (usually they just end up throwing those away if the client is not scheduled for an appointment.) I did not have any materials on me to track clients so I just counted the number of applications that were given out and the number ended up being 34. ",126
585,"Morales Annual School Supply Giveaway",8/18/2007 0:00:00,500,"Timika White","They gaveaway school supplies and door prizes, free haircuts and faces painting.",119
586,"Chip at McDonald's",8/18/2007 0:00:00,40,"Alana Bush","I attended the healthfair at Mcdonald's for health insurance for kids (CHIP). I was there from 10:00 a.m. to 4:00pm. ",95
587,"Because I love myself",2/14/2007 0:00:00,15,"Rosemary Cabral","This was a Valentine Day Presentation/Healthfair at my site. We taught people about taking care of themselves and taking control of their health so we passed on pamphlets on high blood pressure, diabetes, obesity and also handed out applications for the HCHD Discount Card, CHIP, and Medicaid.",96
588,"Acorn Housing",3/10/2007 0:00:00,150,"Angie Tellez and Rosemary Cabral","We learned about Acorn Housing program and how it works for low income people. We were told clients could referred to them to get credit counseling, rebuilding credit, down payment assistance, and low interest rates. This meeting was at 5th ward mulit center at 4114 Market Houston, TX and started at 10 a.m. ",96
589,"Medicare/Medicaid",3/17/2007 0:00:00,45,"Esmeralda, Patsy, Pamela, Rosemary, and Angie","This meeting was at 3611 Ennis to learn more  information on Medicaid and Medicare and to get a highlight view on the new program coming out my Medicare matters. This was more of like a continuing education program but it proved to be very informational.",96
590,"Jackson Middle School",3/28/2007 0:00:00,150,"Rosemary Cabral","This healthfair was at Jackson Middle School on Polk from 12:30 to 5. It was a healthfair for the community in the gymnasium of the school. I went to help El Centro de Corazon to pass out information about the FQHC in the neighborhood and what health services the clinic has to offer as well as my own services. ",96
592,"George R Brown-Salud de Mujer",4/1/2007 0:00:00,5000,"Elizabeth, Teresa, Esmeralda, Rosemary, Carlos","This healthfair was indoors and had a pretty good turn out but not as many as expected because there was severe rain forecasted that day and it had rained the day before all day.  This had many vendors and places to apply for CHIP and Medicaid so the flow was pretty steady. ",96
593,"Kashmere Multi Center",4/14/2007 0:00:00,2000,"Juliana, Margaret, Rosemary, Angie,Timika","This healthfair was indoors open to the community. This healthfair offered health screenings for blood pressure, diabetes,vision and offered other resources. It was located at 4802 Lockwood from 10-3. ",96
594,"CHIP Fiesta",4/28/2007 0:00:00,1000,"Darnell Menard and Rosemary Cabral","This outreach was located at Fiesta at 4711 Airline where we worked with FUUSA and Maximus to get children put of CHIP or Medicaid before the summer let out.  We arrived at 9 and stayed to 4 but since we were limited and did not have access to a fax or copier some people were unable to complete their applications in front of us.  ",96
598,"Planned Parenthood",5/8/2007 0:00:00,10,"Esmeralda, Rosemary, Imelda, Angie, Teresa","This meeting was at Planned Parenthood to see what kind of services were offered there so if referrals were needed we would know who to contact and how they would have to go about making an appointment. ",96
599,"United Way",5/10/2007 0:00:00,50,"Rosemary Cabral","Went to the United way to Network and meet other organizations that would be able to help me with the kinds of referrals I need. This particular meeting was about Harris County Hospital District and it's affiliates with FQHC's.",96
600,"Citizenship Training",6/9/2007 0:00:00,45,"Esmeralda, Patsy,RC, Rene,Gloria","This day we had training on preparing Naturalization at Catholic Charities at 2900 Louisiana. We learned how to fill out the forms and what will be expected of us at the actual event.",96
601,"Citizenship Naturalization Seminar",6/23/2007 0:00:00,3000,"Esmeralda, Patsy,RC, Rene,Gloria","This Seminar was at the George R Brown Convention center from 7-2. This is where we assisted Residents to become Citizens and aided them in filling out the paperwork and connecting them with the right steps and people to complete their Naturalization process.",96
602,"Thirdward Community Healthfair",6/30/2007 0:00:00,150,"Timika, Doug,Patsy, Rosemary, Gloria","This healthfair was located at 2606 Live Oak Houston, TX 77004 with screenings for High blood pressure, vision available to the community. We set up a table to assist anyone with applications they may need. ",96
604,"Community Health Choice Greenspoint",7/28/2007 0:00:00,3000,"Kristian, Doug, Alana,RC, Imelda,","This healthfair was located inside Greenspoint mall and it was a Back to School one where Immunizations, Backpacks, and other needed resources were available for the public.",96
606,"5th Ward Church Healthfair",8/4/2007 0:00:00,100,"Kris W, Esmer G, RC, Imelda, Teresa, Cindy","This healthfair was a back to school distributing school supplies, educating on health issues, and networking.  We did assist people with applications for Medicaid, HCHD Discount Card, and CHIP.",96
607,"Ripley House Pasadena",8/7/2007 0:00:00,800,"Timika, Esmeralda, and Rosemary","This healthfair was also back to school and they distributed vouchers and school supplies. There were immunizations available as well as other resources.  ",96
608,"Ripley House Navigation",8/5/2007 0:00:00,3000,"Esmer G, Timik W, RC, Margaret,Imelda","this healthfair was a community one with back to school suppplies,immunizations, and new resources to the community.  This one was a very busy one because we had 4 people on the table and could not keep up with the flow of people. ",96
609,"FUUSA Children's Day ",8/11/2007 0:00:00,3000,"Teresa, Imelda, Carlos, Cindy, Rosemary","This Healthfair was located at Almeda Mall and it was a back to school one. This fair offered immunizations, balloons, school supplies with a back pack and other useful resoureces. ",96
610,"Alief Middle School",8/18/2007 0:00:00,100,"Margaret and Rosemary","This was a back to school healthfair giving out school supplies. The audience was less than expected because it was tax free weekend and not many showed.  Also offered at this fair were immunizations, vision screenings, and blood pressure checks. ",96
611,"Telemundo Back to School Drive",8/25/2007 0:00:00,600,"Timika and Rosemary ","This healthfair was indoors at 10611 Fondren Braeswood Assembly of God for the community. This fair gave backpacks with school supplies, immunizations, and more community resoureces. ",96
612,"Ask Your Nurse Open House",8/29/2007 0:00:00,80,"Julianna Langlois, Patsy Taylor, and Angela Perez.","We helped set up for the event, and we also served at the reception, we also help break down after the event was over.",80
613,"CHIP Enrollment at McDonalds",8/25/2007 0:00:00,100,"Trinette White","I help sign children up for CHIP and gave infornation on the Discount card.",120
614,"Mcdonalds Chip Outreach",8/25/2007 0:00:00,45,"Imelda Garcia","Assisted the people with chip applications,aswered questions and concerns,helped prepare documents needed for chip application.",101
615,"Care for Elders Access Network",9/4/2007 0:00:00,30,"Cynthia Simien","Discussed successes and challenges that older adults faces, one of the challenges was that a elder in the Baytown area, has a home that is unsafe to live in and do not want to move. The agency had a contractor to do an assessment on the home, per contractor state that the home could not be repair. At this time a tarp will be placed over the home 
until the family is able to do better.  ",73
616,"CHIP  Sign Up",9/8/2007 0:00:00,50,"Patsy Taylor and Julianna Langois","Sign people up for CHIP and Medicaid.",80
619,"Fiestas CHIP",9/8/2007 0:00:00,66,"Timika & Rachel","forty-five children. I think that there would have been more had it not been storming so bad! Ms. Estella Perez from Maximus is always great to work with and Tamikia is always very professional, with definite knowledge of CHIP policies and procedures.  We all worked together to get poeple the assistance and knowledge of the system that was needed for these poeple to be able to qualify for the CHIP program.  Hopefully they are going to be followed up by the Children's Defense fund which is what we were  told, I'm sure they will.  I have a copy of the list and I will make one for Tamika as well.  I showed up at 10:00 am and stayed until 4:45pm and Tamikia showed up early at 8:30am and left at 3:00pm (or was it 3:30pm?) It was a nice turnout otherwise considering it was storming outside.
",126
622,"Fiesta Chip health fair 2300 Sheperd",9/8/2007 0:00:00,40,"Douglas Strong","Filled out chip applications",117
623,"Grandparents raising grandkids",3/30/2007 0:00:00,120,"Margaret  Gibson ,Patsy Taylor","We set up a table to show the types of resources we could assist with.  We gave information about the way persons could receive the discount card and medicaid for children or for pregnant persons and food stamps and well women exams.",103
624,"Home Visit",10/2/2007 0:00:00,3,"","Home visits scheduled to provide medicaid forms and assistance with information for discount card.",103
625,"Jones Facility",9/24/2007 0:00:00,8,"Margaret Gibson","Handed out information for women''s health care,information about breast cancer, applications for discount cards.",103
626,"Jones Facility",9/25/2007 0:00:00,14,"Margaret Gibson","Handed out information about discount cards and medicaid.",103
627,"Jones Facility",9/26/2007 0:00:00,6,"Margaret Gibson","Handed out and assisted with completion of discount card applications and medicaid.",103
628,"Jones Facility",9/27/2007 0:00:00,12,"Margaret Gibson","Handed out resource information for discount cards and medicaid.",103
629,"Jones Facility",9/28/2007 0:00:00,6,"Margaret Gibson","Handed out resource information and assisted with completion of applications.",103
630,"Open House",9/22/2007 0:00:00,25,"Margaret Gibson","Provided assistance with completion of discount card applications and information about how to get well women's check ups.",103
631,"Parents Club",9/23/2007 0:00:00,18,"Margaret Gibson","Provided information about medicaid,discount cards,well women;s checkups,food stamps. ",103
632,"Parents Club",9/29/2007 0:00:00,14,"Margaret Gibson","Provided applications for discount cards.  Provided applications for perinatal medicaid,food stamps.",103
633,"Parents Club",9/30/2007 0:00:00,9,"Margaret Gibson","Provided information about food stamps, made referrals to harris county hospital district. Information about the Rose . Information about immunization clinics.",103
634,"Wellness Health Fair",9/22/2007 0:00:00,300,"Cindy, Patsy, Trinette, Doug","We passed information on Medicare Matters, Medicad,HCHD Discount Card Applications, Americorp,Foodstamps, etc....",120
635,"Parent Advisory Council",10/10/2007 0:00:00,15,"Trinette White","I gave out information to the parents about Medicare Matters, CHIP, HCHD Discount Card, ImmTrac(Texas Immunization Registry, Ascensia Nutritional Pharmacy (Delivers Perscriptions for free in the Graeter Houston)",120
636,"Champions For children Health Fair",10/13/2007 0:00:00,300,"Trinette  & Rachell","We assisted peolpe with information on HCHD Discount Card, Medicare Matters, Americorps, Free Drug Perscriptions. We made copies and helped the parents that was signing their children up for CHIP fill out their applications.",120
637,"Nuestna Familia",10/14/2007 0:00:00,2000,"Trinette","I assisted people with information on CHIP, Medicaid, CHIP Perinatal, Medicaid Matters, Americorps, HCHD Discount Card, ImmunTrac,Free Prescription delivery. ",120
638,"South Central Little League Health Fair",3/29/2008 0:00:00,50,"Cynthia Simien","Handout literature about Area Agency on Aging and Gateway Way to Care. Spoke with quite a bit of seniors about Medicare Extra Help RX Drugs Program. ",73
639,"Happy Mother's Day",5/10/2008 0:00:00,60,"Rosie Martinez","Council Member Adrian Garcia alone with other city officals sponsered a mohter's day luncheon. Infromation on health, social resources and entertainment was part of the celebration.",9
640,"Cobb 6Garde Campus",5/8/2008 0:00:00,100,"Rosie Martinez","Patient Navigator handed out CHIP application. Cobb campus was having their end of school year field day.",9
641,"Women's Health Symposium ",5/17/2008 0:00:00,400,"1"," The event started at 7:30 a.m in the morning, and was open to the public, the Women's Health Symposiums, provided us with a wealth of health information and prevention straegies that arranged from nutrition and physcial fitness, heart disease, diabetes, HIV/AIDS, reproductive health to breast cancer. The BET Foundation brought together a panel of dynamic and powerful Houston women from the medical, nutrition and fitness communities; media and entertainment industry; faith-based community; consumer and health care industry and the public health sector to discuss the various health issues disproportionately affecting African-American women. The panel enaged in an open dialogue regarding the relationship between good health and lifestyle behaviors and choices. The program ended with interactive workshops.",73
642,"Older Americans Mini Conference",5/22/2008 0:00:00,75,"5","Educated on how to better serve seniors in the community and surrounding areas.",73
643,"Senior Expo",5/16/2008 0:00:00,650,"4","The Houston Department of Health and Human Services brought together in-house experts on aging with local leaders from national organizations, regional representatives of state agencies, chief executive officers and others who work for Houston nonprofit organizations, and Texas Medical Center organizations. ",73
644,"g/n   clinic",9/22/2008 0:00:00,29,"","rescheduled appts due to Ike.  (non diabetic)",61
645,"g/n   clinic",9/23/2008 0:00:00,31,"","Rescheduled appts due to Ike  (non diabetic).",61
646,"g/n   clinic",9/26/2008 0:00:00,10,"","6 OUT OF 10 PEOPLE THAT I CONTACTED WHO AGREED TO AN OBESITY CLASS THAT G/N HAS STARTED.",61
647,"g/n   clinic",9/20/2008 0:00:00,25,"","8 OUT OF 25 PEOPLE THAT I CONTACTED WHO AGREED TO OBESITY CLASS.",61
661,"Fiestas Patrias",9/6/2009 0:00:00,1500,"Karin, Christina, liz, Teresa, Rosalinda(vol)","",44
662,"Nuestra Familia",11/1/2009 0:00:00,500,"Rosie Martinez, Teresa Argulles, Elizabeth Roberts, Ron Cookston, Karin Dunn","Handed out informaiton on clinics and educated families about the importance of having a medical home.",9
663,"Health Fair",10/26/2009 0:00:00,50,"Rosie Martinez","Educated families about the importance of having a medical home and handed out resouced information.",9
665,"regular staff meeting with hi track worker",3/12/2010 0:00:00,40,"rasolind rolls","they are trying new ideas for there praogram hi track. a program that provides the clients of harris county and impacted by ike the best service that they assist them with.",181
666,"PTA",3/24/2010 0:00:00,8,"Rosie Martinez","PTA meeting talked about the importance of a medical home. Educated parents about community resouces such as HCHD, FQ, Non-profit clinics, CHIP/Medicaid.",9
667,"Greenspoint Back to school health expo",7/31/2010 0:00:00,300,"teresa arguelles, monica James","I spoke to Grandparents and seniors about medicare LIS PROGRAMS. ",61
669,"Achievement",8/7/2010 0:00:00,2000,"Martha/Dee/Sharkira","This went well.  30 applications were handed out.  50 names wanted follow-up",253
670,"El Centro De Corazon",8/21/2010 0:00:00,50,"Rosie Martinez/Dick Nye","This was a grand opening for an after hours pediatric clinic.  Health plans, Bank of America, Planned Parenthood, and Gateway to Care.  Attendees were disappointedly small- 50 or less.  Rosie gave an excellent presentation to attendees about the importance of a health home.  13 names were taken for follow-up calls.  I sensed a learning expereince for many who attended.",253
671,"Legacy SW Grand Opening",8/28/2010 0:00:00,100,"Rosie, Teresa, Cristina, ","This grand opening was attended by approximately 100 people.  GTC did presentations on a health home which were very successful. 42 people signed up for follow-up.",253
672,"texas children healthfair",8/21/2010 0:00:00,2000,"dick nye felicia howard and 2 in chw current class","The healthfair was a sucess. We had over 2000 people to turn out. Client filled out for womens medicaid, harris county discount card, and food stamp, medicaid and renewel. We had over 65 applications i process and faxed in the system.",181
674,"Commandment MBC Health Fair",9/11/2010 0:00:00,50,"Lunneta  Sums, Dick Nye, Martha Bernal","This HAHU event was held at a small church.  Vendors present were GTC, ARC, Hospital District, Funeral Service, others.  4 signed up with interest in the Medical Reserve Corps.  10 people registered with GTC and we will do follow-up phone calls.",253
675,"State Rep- Krisitie Thibaunt",9/14/2010 0:00:00,200,"Rosie Martinez,Dee Turner","Handed out information on the importance of a health home and resouces to about 250 people at the Workforce Solutions.",9
676,"Love Our Kids Safe Summit 2010",9/18/2010 0:00:00,300,"Rosie Martinez, Felicia Howard, Dick Nye","Information was handed out on Community Resouces and education on the importance of a Medical Home",9
677,"Mt. Zion MBC",8/25/2010 0:00:00,100,"F. Howard, J. Hanks, S. Williams, D. Nye, B. Scott","Assisted community with HCHD apps, women's Medicaid, CHIP and food stamp.  Had chance to interat with other resources",181
678,"cullen missionary baptist church",9/18/2010 0:00:00,200,"dick nye felicia howard, rosie martinez","They health fair was a great turn out. There were about 200 people that turned out for the health fair. The chief of H.I.S.D. and H.P.D. police department was there. The gang task force, ministers against crime, city councle yolanda , and the the orginastion from the H.I.S.D. school district. We handed out about 20 application for womend medicaid. and hchd gold card application.",181
679,"st.luke healthfair",8/1/2010 0:00:00,2000,"felicia howard dick nye (2) traines","There was a great turn put. I gave out about 25 chip applications, I filed and fax in about 15 gold card application, and 10 medicaid applications for adults and ten for kids including food stamps and tanf.",181
680,"northwest mall change happens",8/14/2010 0:00:00,1000,"felicia, dick,  cherly, maria","The turn out was good. There was 30 harris county gold cards given out. There was 15 womens medicaid application given away. I bought the applivcation back and submitted them to the departments of hhsc office, and gold card appilcation.",181
681,"burbank elementary",9/11/2010 0:00:00,30,"felicia, shekira","The turn out wasn't perfect, but we got threw to some of the prents. We gave out about 15 applications for chip. All the parents where instructed to fill the application out a send them in on there own. I also had 2 applicaton for womens health I faxed in, and return to the the appilcant by mail.",181
682,"Hester house",9/25/2010 0:00:00,50,"felicia and 2 volunters","The turn out for the hester house was ok. They had alot of fun and games for the kids. We gave out about 10 chip application to the clients. They where instructed to turn the pplications back in themselves.",181
683,"Brookline Elementary",9/25/2010 0:00:00,0,"Rosie Martinez, Maria Galvan,Sylvia","",9
684,"Pasadena Mall Health Fair",9/25/2010 0:00:00,200,"Martha Bernal, Christina","Handed out information on HCHD, CHIP, Medicaid, Women Medicaid, ",9
685,"Magnolia",9/25/2010 0:00:00,100,"garcia,antoinette","Educated on CHIP, Medicaid process.",44
686,"Outreaching/Sunnyside",10/11/2010 0:00:00,15,"D.Turner","Talking to the Headstart partisipants and  Sunnyside community",25
687,"Target Hunger",10/20/2010 0:00:00,100,"Teresa Arguelles","Target Hunger had a food fair at Kashmere Multi srvc ctr. today to give out produce to low income people. I spoke to this audience about Medicare low income subsidy progs. Gateway to Care prog. Care Connection (ADRC) Services. GTC Caregivers educ. and Training Prog.",61
688,"Target Hunger",10/23/2010 0:00:00,100,"Teresa Arguelles /Monica James","This was at Langston Family Life Ctr. at 2814 Quitman 77026.",61
689,"Community Health Fair",10/30/2010 0:00:00,400,"Patty, Christina, Ana, Dick","Target was homeless and 3rd ward residents. Sponsored by Dr. Jackson and Dr. Wolf.  Health screenings were done for all.  GTC had 69 sign ups.  GTC helped people understand their resources and how to use their triage system.  Passed out applications. ",253
690,"Nuevo Amanecer church",11/5/2010 0:00:00,150,"Teresa Arguelles"," This was my first health fair that I coordinate for the neighborhood church. It was great =  The titan project, Maximus, Gateway to care , Care Connection,  ywca, food bank, HCHD ELIG. systems of hope, U OF H donated 100 childrens books.",61
691,"",12/18/2010 0:00:00,8,"Christina","HCHD discounted services, Medicaid, CHIP education. ",44
692,"",12/19/2010 0:00:00,9,"christina","HCHD discounted services,Medicaid and CHIP education. ",44
693,"Children at Risk",2/13/2011 0:00:00,250,"R. Miller, T. Arguelles, etc.","annual fair targeting hispanic children.  Also C. Garcia, K. Dunn, Edyh, Patsy, Rosalinda (volunteers)",
694,"Bull Riding Convention",4/9/2011 0:00:00,600,"Rosie Martinez, Teresa Arguelles, ","Health fair ",9
695,"Food Bank Assitance information",4/9/2011 0:00:00,1000,"Dick Nye","Health fair hosted by the Food Bank providing community resources.",9
696,"deady middle school",3/5/2011 0:00:00,25,"Christina Garcia","families showed up to the health fair. There weren't too many people due to bad weather.",44
697,"mens health fair",4/16/2011 0:00:00,100,"christina garcia","",44
698,"TCH",3/26/2011 0:00:00,400,"Ana Muniz, Rosie Martinez","Community Health Fair hosted by Texas Children Health Plan",9
699,"Work Force Job Fair",5/3/2011 0:00:00,200,"Rosie Martinez, Christina Garcia","",9
700,"Walgr Well Tour",5/13/2011 0:00:00,8,"Kathy McNamara Patty Ruiz","Not a lot of people came to the tables, this would have been better on the weekend or when school was out in the summer",12
701,"DICER",5/13/2011 0:00:00,2000,"Shaker'a Hubert","Department of Inner-City Emergency Response Preparedness Fair. 
",9
702,"Health & Wellness Fair",6/11/2011 0:00:00,50,"Rosie Martinez"," Houston Area Urban League hosted health fair Emancipation park. Not many vendors participated. Handed information to 6 people. ",9
703,"Community Health Fair",7/16/2011 0:00:00,100,"Rosie Martinez","",9
704,"Cuney Homes",7/21/2011 0:00:00,4,"Chrisina Garcia","Trying to set up a time to be at apartments complex to target families that cannot access healthcare due to no insurance. CHIP, medicaid, hchd ect.",44
705,"Pasadena Community Ctr",7/29/2011 0:00:00,200,"Teresa Arguelles"," health fair.",61
706,"Change Happens Children's Day",7/30/2011 0:00:00,2300,"1","",12
707,"Back To School Health  Expo",7/30/2011 0:00:00,2000,"2","At least,because was a children health fair,we could gave away school supplies like pencils,earacers etc.This event is very value at this time of the season cuz parents and family can received a lot of inf about health care.but childrens always expecting something also.",6
708,"Back to School Healthy and Happy ",8/5/2011 0:00:00,2000,"Rosie Martinez","Jessica Farrar State Rep 
back to school fair.",9
709,"Medicare Workshop",8/31/2011 0:00:00,20,"ADRC/Ms Offord ","This was held at Jewish Community Center.",61
710,"JEWISH COMM CTR",8/31/2011 0:00:00,20,"ADRC","Medicare lis.",61
711,"moody methodist ch.",9/29/2011 0:00:00,25,"teresa arguelles","Care connection was presented to Seniors.",61
712,"Bajo el mismo techo",10/6/2011 0:00:00,500,"A.Muniz/Teresa/Monica","",61
713,"Communuity Family Centers",10/14/2011 0:00:00,400,"A.Muniz/R.Martinez","",6
714,"Binational Health Fair",10/15/2011 0:00:00,250,"Christina,Teresa, Rosalinda (V)","V=volunteer

Lakewood church",44
715,"HISD Benefits",10/17/2011 0:00:00,15,"2","Education and Information To  HISD new employees about Gateway To Care benfits to Opening Doors to Better Health ",6
716,"Change happens",4/26/2011 0:00:00,3,"Christina Garcia","Janaeya from College bound from birth introduced me to Jeness Sherrell so GTC,Change Happens and CBfB can find a way to work together. ",44
717,"CBfB",6/1/2011 0:00:00,0,"Christina Garcia","I visited Johnson library, Sunnyside MSC, Apostolic Faith Church, St. Francis Xavier Church, Mancuso Library, Greater Grace Church and St. Phillip Catholic Church on this day to inroduce the idea of what GTC, and CBfB has to offer in the Sunnyside community. (very infomal meetings)",44
